Produto;Modalidade de acesso;Tipo;CapEx acesso;Velocidade;Tipo de velocidade;Prontidão do Acesso PtP;Tabela regional;12 meses;24 meses;36 meses;48 meses;60 meses
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;08. SP/RJ-Interior;R$ 1.682,80;R$ 1.601,22;R$ 1.524,67;R$ 1.379,45;R$ 1.243,37
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;09. SC/ES-Interior;R$ 2.538,21;R$ 2.415,16;R$ 2.299,69;R$ 2.080,65;R$ 1.875,41
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 2.521,60;R$ 2.399,36;R$ 2.284,65;R$ 2.067,04;R$ 1.863,14
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;11. PR/MG/RS-Interior;R$ 2.538,21;R$ 2.415,16;R$ 2.299,69;R$ 2.080,65;R$ 1.875,41
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 3.322,53;R$ 3.161,46;R$ 3.010,31;R$ 2.723,59;R$ 2.454,92
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;13. RJ-Metro;R$ 1.443,65;R$ 1.373,67;R$ 1.307,99;R$ 1.183,41;R$ 1.066,67
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;14. SC/ES/PR/MG - zona de interesse;R$ 2.069,06;R$ 1.968,76;R$ 1.874,63;R$ 1.696,08;R$ 1.528,77
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;15. Nordeste (exceto MA) - zona de interesse;R$ 2.052,33;R$ 1.952,84;R$ 1.859,47;R$ 1.682,36;R$ 1.516,41
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;400;Simétrico;On-net;16. MT/PA/MA - zona de interesse;R$ 2.069,06;R$ 1.968,76;R$ 1.874,63;R$ 1.696,08;R$ 1.528,77
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;01. SP-Capital;R$ 1.177,39;R$ 1.120,32;R$ 1.066,75;R$ 965,15;R$ 869,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;02. MG-Capital;R$ 1.434,35;R$ 1.364,81;R$ 1.299,56;R$ 1.175,78;R$ 1.059,80
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;03. RJ-Capital;R$ 1.477,07;R$ 1.405,47;R$ 1.338,27;R$ 1.210,80;R$ 1.091,37
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;04. Nordeste-Capital (exceto MA);R$ 1.995,61;R$ 1.898,87;R$ 1.808,08;R$ 1.635,86;R$ 1.474,50
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;05. DF/GO/SC-Capital;R$ 2.012,45;R$ 1.914,90;R$ 1.823,34;R$ 1.649,67;R$ 1.486,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;06. PR/ES-Capital;R$ 2.012,45;R$ 1.914,90;R$ 1.823,34;R$ 1.649,67;R$ 1.486,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 3.103,10;R$ 2.952,67;R$ 2.811,50;R$ 2.543,71;R$ 2.292,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;08. SP/RJ-Interior;R$ 2.041,92;R$ 1.942,93;R$ 1.850,04;R$ 1.673,82;R$ 1.508,71
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;09. SC/ES-Interior;R$ 3.119,71;R$ 2.968,47;R$ 2.826,54;R$ 2.557,32;R$ 2.305,06
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 3.103,10;R$ 2.952,67;R$ 2.811,50;R$ 2.543,71;R$ 2.292,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;11. PR/MG/RS-Interior;R$ 3.119,71;R$ 2.968,47;R$ 2.826,54;R$ 2.557,32;R$ 2.305,06
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 4.104,26;R$ 3.905,30;R$ 3.718,58;R$ 3.364,39;R$ 3.032,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;13. RJ-Metro;R$ 1.742,55;R$ 1.658,08;R$ 1.578,80;R$ 1.428,42;R$ 1.287,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;14. SC/ES/PR/MG - zona de interesse;R$ 2.532,86;R$ 2.410,08;R$ 2.294,85;R$ 2.076,27;R$ 1.871,46
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;15. Nordeste (exceto MA) - zona de interesse;R$ 2.516,13;R$ 2.394,15;R$ 2.279,69;R$ 2.062,55;R$ 1.859,10
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;Construção de rede de acesso até 1km;16. MT/PA/MA - zona de interesse;R$ 2.532,86;R$ 2.410,08;R$ 2.294,85;R$ 2.076,27;R$ 1.871,46
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;01. SP-Capital;R$ 1.177,39;R$ 1.120,32;R$ 1.066,75;R$ 965,15;R$ 869,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;02. MG-Capital;R$ 1.434,35;R$ 1.364,81;R$ 1.299,56;R$ 1.175,78;R$ 1.059,80
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;03. RJ-Capital;R$ 1.477,07;R$ 1.405,47;R$ 1.338,27;R$ 1.210,80;R$ 1.091,37
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;04. Nordeste-Capital (exceto MA);R$ 1.995,61;R$ 1.898,87;R$ 1.808,08;R$ 1.635,86;R$ 1.474,50
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;05. DF/GO/SC-Capital;R$ 2.012,45;R$ 1.914,90;R$ 1.823,34;R$ 1.649,67;R$ 1.486,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;06. PR/ES-Capital;R$ 2.012,45;R$ 1.914,90;R$ 1.823,34;R$ 1.649,67;R$ 1.486,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 3.103,10;R$ 2.952,67;R$ 2.811,50;R$ 2.543,71;R$ 2.292,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;08. SP/RJ-Interior;R$ 2.041,92;R$ 1.942,93;R$ 1.850,04;R$ 1.673,82;R$ 1.508,71
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;09. SC/ES-Interior;R$ 3.119,71;R$ 2.968,47;R$ 2.826,54;R$ 2.557,32;R$ 2.305,06
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 3.103,10;R$ 2.952,67;R$ 2.811,50;R$ 2.543,71;R$ 2.292,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;11. PR/MG/RS-Interior;R$ 3.119,71;R$ 2.968,47;R$ 2.826,54;R$ 2.557,32;R$ 2.305,06
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 4.104,26;R$ 3.905,30;R$ 3.718,58;R$ 3.364,39;R$ 3.032,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;13. RJ-Metro;R$ 1.742,55;R$ 1.658,08;R$ 1.578,80;R$ 1.428,42;R$ 1.287,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;14. SC/ES/PR/MG - zona de interesse;R$ 2.532,86;R$ 2.410,08;R$ 2.294,85;R$ 2.076,27;R$ 1.871,46
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;15. Nordeste (exceto MA) - zona de interesse;R$ 2.516,13;R$ 2.394,15;R$ 2.279,69;R$ 2.062,55;R$ 1.859,10
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;500;Simétrico;On-net;16. MT/PA/MA - zona de interesse;R$ 2.532,86;R$ 2.410,08;R$ 2.294,85;R$ 2.076,27;R$ 1.871,46
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;01. SP-Capital;R$ 1.451,46;R$ 1.382,86;R$ 1.318,48;R$ 1.194,44;R$ 1.077,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;02. MG-Capital;R$ 1.770,58;R$ 1.686,51;R$ 1.607,61;R$ 1.456,04;R$ 1.313,73
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;03. RJ-Capital;R$ 1.813,31;R$ 1.727,17;R$ 1.646,33;R$ 1.491,06;R$ 1.345,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;04. Nordeste-Capital (exceto MA);R$ 2.470,44;R$ 2.352,44;R$ 2.241,70;R$ 2.029,73;R$ 1.830,83
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;05. DF/GO/SC-Capital;R$ 2.487,29;R$ 2.368,47;R$ 2.256,97;R$ 2.043,54;R$ 1.843,28
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;06. PR/ES-Capital;R$ 2.487,29;R$ 2.368,47;R$ 2.256,97;R$ 2.043,54;R$ 1.843,28
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 3.848,86;R$ 3.664,04;R$ 3.490,59;R$ 3.159,66;R$ 2.849,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;08. SP/RJ-Interior;R$ 2.516,75;R$ 2.396,51;R$ 2.283,66;R$ 2.067,69;R$ 1.865,05
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;09. SC/ES-Interior;R$ 3.865,46;R$ 3.679,84;R$ 3.505,63;R$ 3.173,27;R$ 2.861,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 3.848,86;R$ 3.664,04;R$ 3.490,59;R$ 3.159,66;R$ 2.849,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;11. PR/MG/RS-Interior;R$ 3.865,46;R$ 3.679,84;R$ 3.505,63;R$ 3.173,27;R$ 2.861,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 5.094,99;R$ 4.849,76;R$ 4.619,62;R$ 4.181,16;R$ 3.770,03
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;13. RJ-Metro;R$ 2.143,93;R$ 2.041,76;R$ 1.945,87;R$ 1.762,08;R$ 1.589,58
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;14. SC/ES/PR/MG - zona de interesse;R$ 3.135,03;R$ 2.984,81;R$ 2.843,84;R$ 2.574,52;R$ 2.321,88
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;15. Nordeste (exceto MA) - zona de interesse;R$ 3.118,30;R$ 2.968,89;R$ 2.828,68;R$ 2.560,80;R$ 2.309,51
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;Construção de rede de acesso até 1km;16. MT/PA/MA - zona de interesse;R$ 3.135,03;R$ 2.984,81;R$ 2.843,84;R$ 2.574,52;R$ 2.321,88
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;01. SP-Capital;R$ 1.451,46;R$ 1.382,86;R$ 1.318,48;R$ 1.194,44;R$ 1.077,94
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;02. MG-Capital;R$ 1.770,58;R$ 1.686,51;R$ 1.607,61;R$ 1.456,04;R$ 1.313,73
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;03. RJ-Capital;R$ 1.813,31;R$ 1.727,17;R$ 1.646,33;R$ 1.491,06;R$ 1.345,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;04. Nordeste-Capital (exceto MA);R$ 2.470,44;R$ 2.352,44;R$ 2.241,70;R$ 2.029,73;R$ 1.830,83
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;05. DF/GO/SC-Capital;R$ 2.487,29;R$ 2.368,47;R$ 2.256,97;R$ 2.043,54;R$ 1.843,28
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;06. PR/ES-Capital;R$ 2.487,29;R$ 2.368,47;R$ 2.256,97;R$ 2.043,54;R$ 1.843,28
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 3.848,86;R$ 3.664,04;R$ 3.490,59;R$ 3.159,66;R$ 2.849,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;08. SP/RJ-Interior;R$ 2.516,75;R$ 2.396,51;R$ 2.283,66;R$ 2.067,69;R$ 1.865,05
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;09. SC/ES-Interior;R$ 3.865,46;R$ 3.679,84;R$ 3.505,63;R$ 3.173,27;R$ 2.861,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 3.848,86;R$ 3.664,04;R$ 3.490,59;R$ 3.159,66;R$ 2.849,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;11. PR/MG/RS-Interior;R$ 3.865,46;R$ 3.679,84;R$ 3.505,63;R$ 3.173,27;R$ 2.861,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 5.094,99;R$ 4.849,76;R$ 4.619,62;R$ 4.181,16;R$ 3.770,03
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;13. RJ-Metro;R$ 2.143,93;R$ 2.041,76;R$ 1.945,87;R$ 1.762,08;R$ 1.589,58
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;14. SC/ES/PR/MG - zona de interesse;R$ 3.135,03;R$ 2.984,81;R$ 2.843,84;R$ 2.574,52;R$ 2.321,88
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;15. Nordeste (exceto MA) - zona de interesse;R$ 3.118,30;R$ 2.968,89;R$ 2.828,68;R$ 2.560,80;R$ 2.309,51
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;600;Simétrico;On-net;16. MT/PA/MA - zona de interesse;R$ 3.135,03;R$ 2.984,81;R$ 2.843,84;R$ 2.574,52;R$ 2.321,88
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;01. SP-Capital;R$ 1.700,90;R$ 1.620,20;R$ 1.544,47;R$ 1.398,91;R$ 1.262,24
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;02. MG-Capital;R$ 2.085,24;R$ 1.985,92;R$ 1.892,70;R$ 1.713,97;R$ 1.546,22
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;03. RJ-Capital;R$ 2.127,97;R$ 2.026,57;R$ 1.931,41;R$ 1.748,99;R$ 1.577,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;04. Nordeste-Capital (exceto MA);R$ 2.930,51;R$ 2.790,21;R$ 2.658,54;R$ 2.406,86;R$ 2.170,76
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;05. DF/GO/SC-Capital;R$ 2.947,36;R$ 2.806,24;R$ 2.673,80;R$ 2.420,67;R$ 2.183,21
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;06. PR/ES-Capital;R$ 2.947,36;R$ 2.806,24;R$ 2.673,80;R$ 2.420,67;R$ 2.183,21
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 4.593,17;R$ 4.372,27;R$ 4.164,96;R$ 3.769,80;R$ 3.399,26
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;08. SP/RJ-Interior;R$ 2.976,82;R$ 2.834,27;R$ 2.700,50;R$ 2.444,82;R$ 2.204,98
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;09. SC/ES-Interior;R$ 4.609,78;R$ 4.388,07;R$ 4.180,00;R$ 3.783,41;R$ 3.411,53
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 4.593,17;R$ 4.372,27;R$ 4.164,96;R$ 3.769,80;R$ 3.399,26
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;11. PR/MG/RS-Interior;R$ 4.609,78;R$ 4.388,07;R$ 4.180,00;R$ 3.783,41;R$ 3.411,53
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 6.096,34;R$ 5.802,57;R$ 5.526,87;R$ 5.002,00;R$ 4.509,90
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;13. RJ-Metro;R$ 2.526,93;R$ 2.406,19;R$ 2.292,88;R$ 2.076,03;R$ 1.872,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;14. SC/ES/PR/MG - zona de interesse;R$ 3.728,69;R$ 3.549,70;R$ 3.381,72;R$ 3.061,16;R$ 2.760,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;15. Nordeste (exceto MA) - zona de interesse;R$ 3.711,96;R$ 3.533,78;R$ 3.366,56;R$ 3.047,44;R$ 2.748,15
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;Construção de rede de acesso até 1km;16. MT/PA/MA - zona de interesse;R$ 3.728,69;R$ 3.549,70;R$ 3.381,72;R$ 3.061,16;R$ 2.760,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;01. SP-Capital;R$ 1.700,90;R$ 1.620,20;R$ 1.544,47;R$ 1.398,91;R$ 1.262,24
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;02. MG-Capital;R$ 2.085,24;R$ 1.985,92;R$ 1.892,70;R$ 1.713,97;R$ 1.546,22
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;03. RJ-Capital;R$ 2.127,97;R$ 2.026,57;R$ 1.931,41;R$ 1.748,99;R$ 1.577,79
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;04. Nordeste-Capital (exceto MA);R$ 2.930,51;R$ 2.790,21;R$ 2.658,54;R$ 2.406,86;R$ 2.170,76
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;05. DF/GO/SC-Capital;R$ 2.947,36;R$ 2.806,24;R$ 2.673,80;R$ 2.420,67;R$ 2.183,21
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;06. PR/ES-Capital;R$ 2.947,36;R$ 2.806,24;R$ 2.673,80;R$ 2.420,67;R$ 2.183,21
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 4.593,17;R$ 4.372,27;R$ 4.164,96;R$ 3.769,80;R$ 3.399,26
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;08. SP/RJ-Interior;R$ 2.976,82;R$ 2.834,27;R$ 2.700,50;R$ 2.444,82;R$ 2.204,98
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;09. SC/ES-Interior;R$ 4.609,78;R$ 4.388,07;R$ 4.180,00;R$ 3.783,41;R$ 3.411,53
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 4.593,17;R$ 4.372,27;R$ 4.164,96;R$ 3.769,80;R$ 3.399,26
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;11. PR/MG/RS-Interior;R$ 4.609,78;R$ 4.388,07;R$ 4.180,00;R$ 3.783,41;R$ 3.411,53
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 6.096,34;R$ 5.802,57;R$ 5.526,87;R$ 5.002,00;R$ 4.509,90
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;13. RJ-Metro;R$ 2.526,93;R$ 2.406,19;R$ 2.292,88;R$ 2.076,03;R$ 1.872,57
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;14. SC/ES/PR/MG - zona de interesse;R$ 3.728,69;R$ 3.549,70;R$ 3.381,72;R$ 3.061,16;R$ 2.760,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;15. Nordeste (exceto MA) - zona de interesse;R$ 3.711,96;R$ 3.533,78;R$ 3.366,56;R$ 3.047,44;R$ 2.748,15
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;750;Simétrico;On-net;16. MT/PA/MA - zona de interesse;R$ 3.728,69;R$ 3.549,70;R$ 3.381,72;R$ 3.061,16;R$ 2.760,52
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;01. SP-Capital;R$ 2.188,07;R$ 2.083,76;R$ 1.985,87;R$ 1.798,26;R$ 1.622,20
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;02. MG-Capital;R$ 2.699,81;R$ 2.570,69;R$ 2.449,52;R$ 2.217,75;R$ 2.000,30
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;03. RJ-Capital;R$ 2.742,53;R$ 2.611,34;R$ 2.488,23;R$ 2.252,77;R$ 2.031,87
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;04. Nordeste-Capital (exceto MA);R$ 3.829,08;R$ 3.645,22;R$ 3.472,67;R$ 3.143,45;R$ 2.834,69
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;05. DF/GO/SC-Capital;R$ 3.845,93;R$ 3.661,25;R$ 3.487,94;R$ 3.157,26;R$ 2.847,14
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;06. PR/ES-Capital;R$ 3.845,93;R$ 3.661,25;R$ 3.487,94;R$ 3.157,26;R$ 2.847,14
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 6.046,91;R$ 5.755,54;R$ 5.482,09;R$ 4.961,48;R$ 4.473,38
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;08. SP/RJ-Interior;R$ 3.875,39;R$ 3.689,28;R$ 3.514,63;R$ 3.181,41;R$ 2.868,91
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;09. SC/ES-Interior;R$ 6.063,52;R$ 5.771,34;R$ 5.497,14;R$ 4.975,09;R$ 4.485,65
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 6.046,91;R$ 5.755,54;R$ 5.482,09;R$ 4.961,48;R$ 4.473,38
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;11. PR/MG/RS-Interior;R$ 6.063,52;R$ 5.771,34;R$ 5.497,14;R$ 4.975,09;R$ 4.485,65
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 8.052,11;R$ 7.663,52;R$ 7.298,85;R$ 6.605,20;R$ 5.954,96
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;13. RJ-Metro;R$ 3.274,98;R$ 3.117,97;R$ 2.970,64;R$ 2.689,23;R$ 2.425,28
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;14. SC/ES/PR/MG - zona de interesse;R$ 4.888,20;R$ 4.652,99;R$ 4.432,26;R$ 4.011,64;R$ 3.617,24
IP Connect;Ponto a ponto;Acesso+porta;Sem PMT;1000;Simétrico;Construção de rede de acesso até 1km;15. Nordeste (exceto MA) - zona de interesse;R$ 4.871,46;R$ 4.637,07;R$ 4.417,10;R$ 3.997,93;R$ 3.604,88
